Province,District,Year,Household_Size,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_per_capita,StatsSA_Households_Cellphone,StatsSA_Households_LandCell (%),StatsSA_Households_MobileInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt (%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
EC,Sarah Baartman DM: DC10,2024,3.4,Rural,486523,1167591,63,34.7234,1161.001,91.3,1.4,68,1.7,8.6,70.7,8.99
FS,Fezile Dabi DM: DC20,2022,3.3,Rural,1011758,1372594,41,23.5858,1746.735,82.5,10.4,68.2,6.1,8.6,72.6,4.52
FS,Fezile Dabi DM: DC20,2023,3.3,Rural,1013488,1403874,41,24.7306,1704.188,88.3,5.2,71.5,7.4,9,75.3,4.52
FS,Fezile Dabi DM: DC20,2024,3.3,Rural,507595,915770,40,21.6222,1560.983,87.9,5.7,72,5.2,8.7,77.2,4.52
FS,Lejweleputswa DM: DC18,2022,3.2,Rural,1287006,1660181,43,23.5858,1746.735,82.5,10.4,68.2,6.1,8.6,72.6,0.91
FS,Lejweleputswa DM: DC18,2023,3.2,Rural,1288794,1697667,43,24.7306,1704.188,88.3,5.2,71.5,7.4,9,75.3,0.91
FS,Lejweleputswa DM: DC18,2024,3.2,Rural,645123,1124437,43,21.6222,1560.983,87.9,5.7,72,5.2,8.7,77.2,0.91
FS,Mangaung MM: MAN,2022,3.1,Urban,1754467,2329771,47,23.5858,1746.735,82.5,10.4,68.2,6.1,8.6,72.6,0.24
FS,Mangaung MM: MAN,2023,3.1,Urban,1769817,2403116,48,24.7306,1704.188,88.3,5.2,71.5,7.4,9,75.3,0.24
FS,Mangaung MM: MAN,2024,3.1,Urban,892675,1356405,48,21.6222,1560.983,87.9,5.7,72,5.2,8.7,77.2,0.24
FS,T Mofutsanyana DM: DC19,2022,3.5,Rural,1512793,2008181,72,23.5858,1746.735,82.5,10.4,68.2,6.1,8.6,72.6,4.52
