Province,District,Year,Area_Classification,Population,PHC_Headcount,PHC_Facilities_Total,Med_Pracs_per100k,PHC_Expend_pc,StatsSA_Households_Landline (%),StatsSA_Households_Cellphone (%),StatsSA_Households_LandCell (%),StatsSA_Household_None (%),StatsSA_Households_MobileInt (%),StatsSA_Households_FixInt (%),StatsSA_Households_PubWIFI (%),StatsSA_Households_WorkInt ()%),StatsSA_Households_AnyIntAccess (%),Distance_PHC (km)
KZ,Amajuba DM: DC25,2024,Rural,583415,986524,26,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,8.99
KZ,Harry Gwala DM: DC43,2022,Rural,1020226,,40,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,0.24
KZ,Harry Gwala DM: DC43,2023,Rural,1027556,,40,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,0.24
KZ,Harry Gwala DM: DC43,2024,Rural,517618,1064642,40,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,0.24
KZ,King Cetshwayo DM: DC28,2022,Rural,1939485,,64,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,2.3
KZ,King Cetshwayo DM: DC28,2023,Rural,1950009,,64,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,2.3
KZ,King Cetshwayo DM: DC28,2024,Rural,980188,2348577,64,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,2.3
KZ,Ugu DM: DC21,2022,Rural,1654768,,54,35.2408,1886.864,0,86.3,9.2,4.4,74.6,8.3,6.8,11.6,75.9,0.91
KZ,Ugu DM: DC21,2023,Rural,1677289,,54,33.8774,1713.592,0.1,90.4,6.5,3,78.5,6.9,7.8,16.9,80.6,0.91
KZ,Ugu DM: DC21,2024,Rural,850311,1680434,54,34.3405,1552.976,0.1,93.6,3.7,2.6,80,7.5,5.5,5.9,84.2,0.91
